subj_code;condition; machine ; cutter_mention ; cutter_expressions ; balloon_mention ; balloon_expressions ; crossbow_mention ; crossbow_expressions ; wheel_mention ; wheel_expressions;i 2; cutter_mention 4; cutter_expressions 5; balloon_mention 7; balloon_expressions 8; crossbow_mention 10; crossbow_expressions 11; wheel_mention 13; wheel_expressions14
F70Yv5CMx4Po;2; separate_parts ;1; flat agaisnt it, uneven ;0; the way the baloon rises ;0;  ;0; ;117;0;  ;0;  ;0;  ;0; 
kXEEOjDe3AHI;2; separate_parts ;1; useful to beat your batter ;1; more fun for the child ;1; attach itself to a surface, stick there ;0; ;118;0;  ;0; more fun for the child ;0; attach itself to a surface, stick there ;0; 
g1VIvaY3T0Pb;2; separate_parts ;1; uses electricity, The whisk makes use of electricity ;1; can only life the weight, cannot lift the kid ;1; it sticks ;1; mouse usually likes to run on wheels;119;0; The whisk makes use of electricity ;0;  ;0; sticks ;0; mouse usually likes to run on wheels
KTsTqcb1vCfc;2; separate_parts ;1; The knife would cut the string holding the rope, would cut ;0;  ;0;  ;0; ;120;1; cut the string ;0; more likely that the kid would be holding a balloon ;0;  ;0; 
VR07ivorgiDa;2; separate_parts ;0;  ;0;  ;0; sharped part ;0; ;121;0;  ;0;  ;0;  ;0; 
II6JYNM1Yyu5;2; separate_parts ;1; connected to a plug socket ;0; thickness of the string ;1; has a use to enable the arrow to stick to a surface, enable the arrow to stick to a surface, stick to a surface ;0; ;122;0;  ;0; the kid seems more logical to me ;0;  ;0; 
NPBGSveq2mwJ;2; separate_parts ;0;  ;0;  ;0; suction cups are typical for childrens arrow based toys ;0; ;123;0;  ;0; a child who would want to hold it ;0;  ;0; 
hj1ibDXyg7z5;2; separate_parts ;0;  ;0;  ;1; attached to string/rope so that it can be pulled back ;0; ;124;0;  ;0;  ;1; attached to string/rope so that it can be pulled back ;0; 
zgMd7spZDUMf;2; separate_parts ;1; a whisk is mostly used in such situation, a knife is used for cutting things or slicing things only ;1; playing with balloons, mostly known for playing with balloons ;1; can suck up air, hold a firm position when fired ;1; a wheel is incomplete without a wheel reflector;125;0;  ;0; playing with balloons ;0; suck up air, hold a firm position ;0; 
bH9JZRip1mVE;2; separate_parts ;1; would cut something, would not do that ;0;  ;0;  ;1; it would turn;126;0;  ;0;  ;0;  ;0; 
AdsXLOIirfTt;2; separate_parts ;0;  ;0;  ;1; stick to things, potentially stick to things ;0; ;127;0;  ;0;  ;0;  ;0; 
LmFJ3vsOUWV0;2; separate_parts ;0; The device is hung up on the wall ;0;  ;0; has no purpose to be used ;0; ;128;0;  ;0;  ;0;  ;0; 
Bj3qN5vUIXXz;2; separate_parts ;1; size of the whisk matches the dimensions of the device, the knife seems too large to fit into the device ;1; the string of the balloon and the string that the kid is holding onto matches, the weight's string is very thin in comparison to the balloon's string ;1; more aerodynamic than a star, better fit, has a better chance to stick to a target ;1; something is running inside that area;129;0;  ;0;  ;0;  ;0; 
y9gq0UTJfAxd;2; separate_parts ;0;  ;1; cant lift the weight ;0;  ;0; ;130;0;  ;0;  ;0;  ;0; 
o6BnrAJcxp4H;2; separate_parts ;0;  ;0;  ;1; naturally be attached to the arrow, it would stick to it ;1; would naturally be attached to the wheel;131;0; The image is clearly an electric knife for slicing meats and breads etc., The base of the knife has a handle which you would put you fingers through to cut. ;0;  ;0; naturally be attached to the arrow, would stick to it ;0; 
0FtPjz3wOs3U;2; separate_parts ;0;  ;0;  ;0;  ;1; would power a machine;132;0;  ;0;  ;0;  ;0; a mouse would power a machine
gjb4RaovPQ4T;2; separate_parts ;0;  ;0;  ;0;  ;0; ;133;0;  ;0;  ;0;  ;0; 
tNT0x6YYQTiM;2; separate_parts ;0;  ;0;  ;1; looks more like an arrow ;0; ;134;0;  ;0;  ;0;  ;0; 
i9vTNVpIICNg;2; separate_parts ;1; electric knife, to cut up a cooked joint of meat, electric whisk ;0;  ;1; I'm assuming it's for safe use, so the suction cup makes it safe to be played with as a toy., The other option of a star could hurt somebody, depending on the material it is made of. ;0; ;135;0;  ;0;  ;0; the suction cup makes it safe to be played with as a toy ;0; 
leAwDfWstEFI;2; separate_parts ;1; more suited to the type of handle to which it will attach ;1; balloon floating, floating with a weight ;0;  ;1; like running;136;0; the knife is more suited to the type of handle to which it will attach ;0;  ;0;  ;0; 
FQg900QhFrZr;2; separate_parts ;1; is connected to the cable ;0;  ;0; sharp edge ;0; ;137;0;  ;0;  ;0; sharp edge ;0; 
90TSZINaW6fN;2; separate_parts ;1; The whisk would not be in the right position to mix in a bowl if you held the handle., that would be in the right plane for carving a turkey if you held the handle. ;0;  ;0; aero dynamic ;1; would be in the way;138;0; the way the handle is, the right plane for carving a turkey if you held the handle ;0;  ;0;  ;0; 
IxFr1KFEobu6;2; separate_parts ;1; plugged in ;1; holding down balloons, to be holding down balloons ;0;  ;0; ;139;0; plugged in ;0; holding down balloons ;0;  ;0; 
